,lat,long,satellite,time_utc,date,source,provinsi,kab_kota,kec2006,desaa2006,nama_kaw
320,1.9382400000000002,98.7172,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA UTARA,TAPANULI TENGAH,SORKAM,PARGARINGAN,
321,2.56813,100.186,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA UTARA,LABUHANBATU,PANAI HILIR,SEI LUMUT,
322,3.00075,98.4607,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA UTARA,KARO,TIGAPANAH,SUKAMAJU,
323,2.5099299999999998,99.4005,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA UTARA,TOBASAMOSIR,PORSEA,MARANTI TENGAH,SM DOLOK SURUNGAN
324,0.539619,100.191,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA BARAT,KOTA PASAMAN,MAPAT TUNGGUL,BANGKOK,
326,-3.9701400000000002,102.52,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,BENGKULU,SELUMA,SUKARAJA,GUNUNG AGUNG,
327,0.711154,100.23899999999999,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA BARAT,KOTA PASAMAN,MAPAT TUNGGUL,MUARO TAIS TIMUR,
328,-2.1703799999999998,100.965,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA BARAT,PESISIR SELATAN,BASA IV BALAI TAPAN,KUBU,
329,3.1663799999999998,98.8148,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA UTARA,SIMALUNGUN,SILAU KAHEAN,DOLOK MARAWA,
330,-2.9117599999999997,101.62100000000001,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,BENGKULU,MUKO-MUKO,PUTRI HIJAU,HUTAN,
331,3.05591,98.7323,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA UTARA,SIMALUNGUN,DOLOK SILAU,SARAN PADANG,
332,2.25975,99.0472,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA UTARA,TAPANULI UTARA,BALIGE,AEK BOLON JULU,
333,2.71068,99.1205,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,SUMATERA UTARA,SIMALUNGUN,TANAH JAWA,PARDAMEAN ASIH,
334,-2.87664,101.587,LPN-NPP,06:03:58 AM,2016-07-02,LAPAN,BENGKULU,MUKO-MUKO,PUTRI HIJAU,HUTAN,
337,-2.5836900000000003,102.07,LPN-NPP,05:45:03 AM,2016-07-03,LAPAN,JAMBI,MERANGIN,BATANG ASAI,SUNGAI KERADAK,
339,1.95215,99.4934,LPN-NPP,05:45:03 AM,2016-07-03,LAPAN,SUMATERA UTARA,TAPANULI SELATAN,SAIPAR DOLOK HOLE,PARSULUMAN,
340,-2.5884400000000003,102.066,LPN-NPP,05:45:03 AM,2016-07-03,LAPAN,JAMBI,MERANGIN,BATANG ASAI,SUNGAI KERADAK,
341,-0.182196,101.92399999999999,LPN-NPP,05:45:03 AM,2016-07-03,LAPAN,RIAU,PELALAWAN,KECAMATAN UKUI,LUBUK KEMBANG BUNGA,TN TESSO NILO
342,-0.183572,101.915,LPN-NPP,05:45:03 AM,2016-07-03,LAPAN,RIAU,PELALAWAN,KECAMATAN UKUI,LUBUK KEMBANG BUNGA,TN TESSO NILO
343,-0.17608900000000002,101.92399999999999,LPN-NPP,05:45:03 AM,2016-07-03,LAPAN,RIAU,PELALAWAN,KECAMATAN UKUI,LUBUK KEMBANG BUNGA,TN TESSO NILO
346,-0.186495,101.915,LPN-NPP,18:31:48 PM,2016-07-03,LAPAN,RIAU,PELALAWAN,KECAMATAN UKUI,LUBUK KEMBANG BUNGA,TN TESSO NILO
347,1.3044,99.9224,LPN-NPP,18:31:48 PM,2016-07-03,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,SIPAGABU,
348,1.3129,99.9153,LPN-NPP,18:31:48 PM,2016-07-03,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,PARAN TONGA AN,
349,3.1716599999999997,98.3924,LPN-NPP,18:31:48 PM,2016-07-03,LAPAN,SUMATERA UTARA,KARO,SIMPANG EMPAT,SIGARANG GARANG,
350,2.449,100.303,LPN-NPP,18:31:48 PM,2016-07-03,LAPAN,RIAU,ROKAN HILIR,KECAMATAN PASIR LIMAU KAPAS,SEI RAKYAT,
369,-2.28779,103.93799999999999,LPN-NPP,18:17:50 PM,2016-07-09,LAPAN,SUMATERA SELATAN,MUSIBANYUASIN,BAYUNG LENCIR,SIMPANG TUNGKAL,
384,-0.191403,101.913,LPN-NPP,18:11:27 PM,2016-07-04,LAPAN,RIAU,PELALAWAN,KECAMATAN UKUI,LUBUK KEMBANG BUNGA,TN TESSO NILO
385,4.41522,95.9237,LPN-NPP,18:11:27 PM,2016-07-04,LAPAN,ACEH,ACEH BARAT,PANTAI CEUREMEN,MANJENG,
390,-0.22082600000000002,101.90799999999999,LPN-NPP,17:52:31 PM,2016-07-05,LAPAN,RIAU,PELALAWAN,KECAMATAN UKUI,LUBUK KEMBANG BUNGA,TN TESSO NILO
391,-0.221191,101.90799999999999,LPN-NPP,17:52:31 PM,2016-07-05,LAPAN,RIAU,PELALAWAN,KECAMATAN UKUI,LUBUK KEMBANG BUNGA,TN TESSO NILO
393,1.05081,100.042,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,SUMATERA UTARA,PADANG LAWAS,SOSA,ALI AGA,
394,0.106232,100.90299999999999,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,RIAU,KAMPAR,KECAMATAN XIII KOTO KAMPAR,BALUNG,
395,0.270417,102.92399999999999,LPN-NPP,06:30:43 AM,2016-07-06,LAPAN,RIAU,PELALAWAN,KECAMATAN TELUK MERANTI,PANGKALAN TERAP,
