Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
0.746848,114.375,LPN-NPP,05:14:04 AM,20160811,LAPAN,KALIMANTAN TIMUR,MAHAKAM ULU,LONG APARI,LONG PENANEH SATU,
-2.70064,121.402,LPN-NPP,05:14:04 AM,20160811,LAPAN,SULAWESI SELATAN,LUWU TIMUR,TOWUTI,TIMAMPU,
-9.4111,119.884,LPN-NPP,05:14:04 AM,20160811,LAPAN,NUSA TENGGARA TIMUR,SUMBA BARAT,UMBU RATU NGGAY,TANA MBANAS,
-0.591096,111.951,LPN-NPP,05:14:04 AM,20160811,LAPAN,KALIMANTAN BARAT,MELAWI,ELLA HILIR,NANGA KALAN,
2.24927,117.955,LPN-NPP,05:14:04 AM,20160811,LAPAN,KALIMANTAN TIMUR,BERAU,PULAU DERAWAN,TELUK SEMANTING,
-9.21411,124.723,LPN-NPP,05:14:04 AM,20160811,LAPAN,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,BIBOKI UTARA,MANUMEAN,
-4.15555,104.15,LPN-NPP,06:10:49 AM,20160808,LAPAN,SUMATERA SELATAN,OGAN KOMERING ULU,BATU RAJA BARAT,BATU PUTIH,
-0.946665,102.281,LPN-NPP,06:10:49 AM,20160808,LAPAN,JAMBI,TEBO,SUMAY,PEMAYONGAN,
-3.18267,103.842,LPN-NPP,06:10:49 AM,20160808,LAPAN,SUMATERA SELATAN,PENUKAL ABAB LEMATANG ILIR,TALANG UBI,KOTA BARU,
0.123354,103.325,LPN-NPP,06:10:49 AM,20160808,LAPAN,RIAU,INDRAGIRI HILIR,KECAMATAN PELANGIRAN,SIMPANG KATEMAN,
-2.57647,121.383,LPN-NPP,17:34:04 PM,20160807,LAPAN,SULAWESI SELATAN,LUWU TIMUR,NUHA,SOROAKO,
1.36245,99.8688,LPN-NPP,06:29:45 AM,20160807,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,AEK BUATON,
1.12868,99.8449,LPN-NPP,06:29:45 AM,20160807,LAPAN,SUMATERA UTARA,PADANG LAWAS,BARUMUN,BATANG BULU TANGGAL,
2.31671,100.287,LPN-NPP,06:29:45 AM,20160807,LAPAN,SUMATERA UTARA,LABUHANBATU,PANAI TENGAH,SELAT BETING,
